Ref,Val,Package,PosX,PosY,Rot,Side
"SW_R_1_2","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",212.551506,-82.868847,0.000000,top
"SW_R_1_3","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",182.245000,-104.749000,8.000000,top
"SW_R_2_0","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",230.557753,-40.868800,0.000000,top
"SW_R_2_1","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",230.557753,-57.868800,0.000000,top
"SW_R_2_2","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",230.557753,-74.868800,0.000000,top
"SW_R_2_3","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",202.565000,-104.749000,-8.000000,top
"SW_R_3_0","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",248.557753,-47.868800,0.000000,top
"SW_R_3_1","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",248.557753,-64.868800,0.000000,top
"SW_R_3_2","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",248.557753,-81.868800,0.000000,top
"SW_R_4_0","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",266.557753,-60.868800,0.000000,top
"SW_R_4_1","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",266.557753,-77.868800,0.000000,top
"SW_R_4_2","Cherry_MX_ULP_SK6812_151","Cherry_MX_ULP",266.557753,-94.868800,0.000000,top
"U1","xiao-ble","xiao-ble-smd",30.480000,-42.545000,90.000000,top
"U2","xiao-ble","xiao-ble-smd",267.970000,-42.545000,-90.000000,top
